step,epoch,loss,grad_norm,learning_rate
10,0.0492,2.5888,8.238088607788086,2.1951219512195125e-06
20,0.0984,2.4635,5.071750640869141,4.634146341463416e-06
30,0.1476,2.3086,4.444670677185059,7.0731707317073175e-06
40,0.1968,2.2125,4.089353084564209,9.51219512195122e-06
50,0.246,2.1203,4.05463171005249,9.99737107460427e-06
60,0.2952,2.0465,3.725222110748291,9.986695802992613e-06
70,0.3444,2.0371,4.214059352874756,9.96782740327063e-06
80,0.3936,1.9288,3.5858240127563477,9.940796876169516e-06
90,0.4428,1.9027,4.504501819610596,9.905648632774327e-06
100,0.492,1.9318,4.061888217926025,9.862440421556665e-06
110,0.5412,1.8617,3.948853015899658,9.811243233494108e-06
120,0.5904,1.8418,3.8872814178466797,9.75214118543221e-06
130,0.6396,1.8154,3.8364078998565674,9.685231381880747e-06
140,0.6888,1.7831,4.108822345733643,9.61062375547126e-06
150,0.738,1.8001,3.9887356758117676,9.528440886338042e-06
160,0.7872,1.7972,3.877039670944214,9.43881780071928e-06
170,0.8364,1.7378,4.203342437744141,9.341901749109315e-06
180,0.8856,1.6772,4.2809739112854,9.237851964326466e-06
190,0.9348,1.6498,4.0051069259643555,9.126839399893913e-06
200,0.984,1.7004,3.592212438583374,9.009046449163526e-06
210,1.0295,1.4512,3.8884053230285645,8.884666645644056e-06
220,1.0787,1.3061,3.656388282775879,8.753904345026091e-06
230,1.1279,1.2908,3.8255999088287354,8.616974389426194e-06
240,1.1771,1.2374,3.924414873123169,8.474101754401866e-06
250,1.2263,1.2706,4.616832256317139,8.325521179317298e-06
260,1.2755,1.281,3.565225124359131,8.171476781667215e-06
270,1.3247,1.2619,3.954888105392456,8.012221655992469e-06
280,1.3739,1.2922,3.4643969535827637,7.848017458046371e-06
290,1.4231,1.2909,4.45184850692749,7.679133974894984e-06
300,1.4723,1.2987,3.7622971534729004,7.505848681657674e-06
310,1.5215,1.2709,4.563638687133789,7.32844628561622e-06
320,1.5707,1.2212,3.956170082092285,7.147218258441496e-06
330,1.6199,1.2418,3.9918954372406006,6.962462357306286e-06
340,1.6691,1.2675,4.254645347595215,6.774482135671026e-06
350,1.7183,1.2573,3.753005027770996,6.583586444546265e-06
360,1.7675,1.2478,4.214252471923828,6.390088925051273e-06
370,1.8167,1.2336,3.9187662601470947,6.194307493102496e-06
380,1.8659,1.2642,4.4100189208984375,5.996563817078544e-06
390,1.9151,1.2604,4.362698078155518,5.797182789319896e-06
400,1.9643,1.2235,4.075104713439941,5.596491992331626e-06
410,2.0098,1.1928,4.346282958984375,5.394821160566214e-06
420,2.059,0.8541,5.571404933929443,5.192501638670709e-06
430,2.1082,0.8929,4.15561056137085,4.989865837088334e-06
440,2.1574,0.8493,5.640811920166016,4.787246685909011e-06
450,2.2066,0.8326,4.603075981140137,4.584977087866096e-06
460,2.2558,0.7943,3.900491714477539,4.383389371378059e-06
470,2.305,0.8775,3.9247825145721436,4.182814744533758e-06
480,2.3542,0.8147,3.975385904312134,3.983582750918437e-06
490,2.4034,0.7816,3.602022171020508,3.7860207281744626e-06
500,2.4526,0.8083,4.135716438293457,3.590453270186452e-06
510,2.5018,0.8232,4.298374176025391,3.3972016937743566e-06
520,2.551,0.8562,3.9571735858917236,3.2065835107707877e-06
530,2.6002,0.8123,4.316587448120117,3.018911906349896e-06
540,2.6494,0.8217,3.299359083175659,2.8344952244649615e-06
550,2.6986,0.8478,4.482884407043457,2.6536364612400812e-06
560,2.7478,0.8352,4.636125087738037,2.476632767148339e-06
570,2.797,0.776,3.784891366958618,2.3037749587943508e-06
580,2.8462,0.8356,4.032196044921875,2.135347041103358e-06
590,2.8954,0.8312,4.662214756011963,1.97162574070187e-06
600,2.9446,0.743,4.481647968292236,1.8128800512565514e-06
610,2.9938,0.8013,4.413838863372803,1.6593707915183276e-06
620,3.0394,0.597,3.9516031742095947,1.511350176797865e-06
630,3.0886,0.5598,5.328880310058594,1.369061404576481e-06
640,3.1378,0.5771,4.033568382263184,1.232738254933314e-06
650,3.187,0.5562,4.7510833740234375,1.1026047064452727e-06
660,3.2362,0.6192,3.897639513015747,9.788745681908225e-07
670,3.2854,0.5634,4.216299533843994,8.617511284622238e-07
680,3.3346,0.573,4.424388408660889,7.514268207634107e-07
690,3.3838,0.5817,4.68332052230835,6.480829076422451e-07
700,3.433,0.5843,3.5397753715515137,5.518891828766271e-07
710,3.4822,0.5772,4.434542655944824,4.6300369250376067e-07
720,3.5314,0.5477,4.075718879699707,3.815724751509353e-07
730,3.5806,0.5923,3.8623056411743164,3.0772932209444104e-07
740,3.6298,0.5554,4.073625087738037,2.415955574408518e-07
750,3.679,0.5838,3.5506794452667236,1.8327983879184164e-07
760,3.7282,0.6059,3.9435884952545166,1.3287797872002738e-07
770,3.7774,0.5721,3.8901584148406982,9.047278734916065e-08
780,3.8266,0.5709,4.683732986450195,5.613393629731789e-08
790,3.8758,0.5321,3.6625425815582275,2.991784420661115e-08
800,3.925,0.5904,4.911926746368408,1.1867584047506876e-08
810,3.9742,0.5733,4.327833652496338,2.0128123500506856e-09
