step,epoch,loss,grad_norm,learning_rate
10,0.0492,2.5628,6.410145282745361,4.390243902439025e-06
20,0.0984,2.3997,5.012347221374512,9.268292682926831e-06
30,0.1476,2.2102,4.134634017944336,1.4146341463414635e-05
40,0.1968,2.1135,3.939974308013916,1.902439024390244e-05
50,0.246,2.0316,3.8807806968688965,1.999474214920854e-05
60,0.2952,1.9606,3.865570068359375,1.9973391605985226e-05
70,0.3444,1.9812,4.4351372718811035,1.993565480654126e-05
80,0.3936,1.8659,3.450835943222046,1.988159375233903e-05
90,0.4428,1.8421,4.291967868804932,1.9811297265548654e-05
100,0.492,1.8715,3.7840349674224854,1.972488084311333e-05
110,0.5412,1.8015,3.729463577270508,1.9622486466988216e-05
120,0.5904,1.7658,3.778461456298828,1.950428237086442e-05
130,0.6396,1.7552,3.7508063316345215,1.9370462763761494e-05
140,0.6888,1.7183,3.672013759613037,1.922124751094252e-05
150,0.738,1.7296,3.7364068031311035,1.9056881772676084e-05
160,0.7872,1.7239,3.4496729373931885,1.887763560143856e-05
170,0.8364,1.6575,3.6471657752990723,1.868380349821863e-05
180,0.8856,1.5752,3.9671552181243896,1.8475703928652932e-05
190,0.9348,1.5649,3.7590909004211426,1.8253678799787825e-05
200,0.984,1.6249,3.3496336936950684,1.801809289832705e-05
210,1.0295,1.2834,3.9176793098449707,1.776933329128811e-05
220,1.0787,1.063,3.3163394927978516,1.7507808690052183e-05
230,1.1279,1.0397,3.2322182655334473,1.7233948778852388e-05
240,1.1771,1.0059,3.5235238075256348,1.6948203508803733e-05
250,1.2263,1.0408,4.118923187255859,1.6651042358634595e-05
260,1.2755,1.04,3.292922258377075,1.634295356333443e-05
270,1.3247,1.0339,3.598090648651123,1.6024443311984938e-05
280,1.3739,1.0596,3.2814693450927734,1.5696034916092743e-05
290,1.4231,1.0592,4.190359592437744,1.5358267949789968e-05
300,1.4723,1.0679,3.520468235015869,1.5011697363315347e-05
310,1.5215,1.0346,4.025269985198975,1.465689257123244e-05
320,1.5707,0.9957,3.951997756958008,1.4294436516882993e-05
330,1.6199,1.0365,3.736879825592041,1.3924924714612572e-05
340,1.6691,1.0244,3.8082478046417236,1.3548964271342051e-05
350,1.7183,1.0331,3.450099229812622,1.316717288909253e-05
360,1.7675,1.019,3.9896605014801025,1.2780177850102546e-05
370,1.8167,1.0243,3.592423915863037,1.2388614986204992e-05
380,1.8659,1.0364,4.218976974487305,1.1993127634157089e-05
390,1.9151,1.0451,4.008195877075195,1.1594365578639792e-05
400,1.9643,1.0049,3.8337879180908203,1.1192983984663253e-05
410,2.0098,0.9456,3.9886927604675293,1.0789642321132427e-05
420,2.059,0.4834,5.686478614807129,1.0385003277341417e-05
430,2.1082,0.4909,3.5007612705230713,9.979731674176667e-06
440,2.1574,0.4581,4.723674774169922,9.574493371818021e-06
450,2.2066,0.4601,3.845639705657959,9.169954175732192e-06
460,2.2558,0.4385,3.1841094493865967,8.766778742756117e-06
470,2.305,0.4747,3.4065284729003906,8.365629489067516e-06
480,2.3542,0.4509,3.4160220623016357,7.967165501836873e-06
490,2.4034,0.4244,3.0632150173187256,7.572041456348925e-06
500,2.4526,0.4319,3.2478668689727783,7.180906540372904e-06
510,2.5018,0.4525,3.3400721549987793,6.794403387548713e-06
520,2.551,0.4743,3.2384262084960938,6.4131670215415755e-06
530,2.6002,0.447,3.9558913707733154,6.037823812699792e-06
540,2.6494,0.4455,2.545565605163574,5.668990448929923e-06
550,2.6986,0.4627,3.8834848403930664,5.3072729224801625e-06
560,2.7478,0.4563,3.8128256797790527,4.953265534296678e-06
570,2.797,0.4216,3.2262580394744873,4.6075499175887015e-06
580,2.8462,0.4606,3.382416009902954,4.270694082206716e-06
590,2.8954,0.4515,4.175142765045166,3.94325148140374e-06
600,2.9446,0.4059,3.8688509464263916,3.625760102513103e-06
610,2.9938,0.4414,3.382448434829712,3.318741583036655e-06
620,3.0394,0.2299,2.5745785236358643,3.02270035359573e-06
630,3.0886,0.1726,3.5948121547698975,2.738122809152962e-06
640,3.1378,0.1786,2.9490511417388916,2.465476509866628e-06
650,3.187,0.1694,2.8565030097961426,2.2052094128905454e-06
660,3.2362,0.1821,2.537290096282959,1.957749136381645e-06
670,3.2854,0.168,2.6189820766448975,1.7235022569244475e-06
680,3.3346,0.171,2.898235559463501,1.5028536415268214e-06
690,3.3838,0.1762,2.669544219970703,1.2961658152844902e-06
700,3.433,0.1762,2.4314589500427246,1.1037783657532542e-06
710,3.4822,0.1761,3.113593339920044,9.260073850075213e-07
720,3.5314,0.1678,2.701368570327759,7.631449503018706e-07
730,3.5806,0.1754,2.406477928161621,6.154586441888821e-07
740,3.6298,0.1701,2.7338178157806396,4.831911148817036e-07
750,3.679,0.1714,2.322474956512451,3.6655967758368327e-07
760,3.7282,0.1792,2.369527578353882,2.6575595744005476e-07
770,3.7774,0.1732,2.894022226333618,1.809455746983213e-07
780,3.8266,0.1698,3.083798885345459,1.1226787259463579e-07
790,3.8758,0.157,2.121159553527832,5.98356884132223e-08
800,3.925,0.173,3.137883186340332,2.373516809501375e-08
810,3.9742,0.1741,2.820478677749634,4.025624700101371e-09
